Epoch,(AP) @[ IoU=0.50:0.95,(AP) @[ IoU=0.50,(AP) @[ IoU=0.75,(AR) @[ IoU=0.50:0.95
0,0.058,0.262,0.005,0.389
1,0.031,0.085,0.016,0.119
2,0.08,0.336,0.004,0.32
3,0.069,0.287,0.004,0.351
4,0.115,0.392,0.02,0.378
5,0.124,0.452,0.011,0.364
6,0.09,0.341,0.007,0.39
7,0.102,0.382,0.01,0.362
8,0.076,0.322,0.007,0.351
9,0.117,0.344,0.052,0.402
10,0.112,0.414,0.019,0.336
11,0.103,0.416,0.004,0.379
12,0.122,0.384,0.03,0.364
13,0.102,0.321,0.023,0.362
14,0.122,0.375,0.024,0.367
15,0.103,0.369,0.026,0.365
16,0.085,0.315,0.012,0.313
17,0.15,0.496,0.02,0.361
18,0.108,0.37,0.02,0.32
19,0.1,0.307,0.031,0.393
20,0.157,0.46,0.051,0.36
21,0.103,0.381,0.015,0.292
22,0.122,0.395,0.037,0.304
23,0.107,0.362,0.02,0.308
24,0.101,0.372,0.021,0.335
25,0.152,0.416,0.061,0.336
26,0.177,0.475,0.06,0.377
27,0.172,0.479,0.061,0.387
28,0.17,0.482,0.046,0.391
29,0.17,0.488,0.055,0.373
